Stock.ID,Species,Stock,Date.data.obtained,Date.data.incorporated,Ocean.Region,Region,Sub.Region,Jurisdiction,Lat,Lon,Source.ID,Comment
134,Sockeye,East Alsek,NA,NA,WC,Yakutat,Yakutat,AK,59.12,-138.66,NA,Stock-recruit analysis for brood years 1972 to 1990; separate stock-recruit analysis for brood years 1991 to 1997.
135,Sockeye,Alsek,NA,NA,WC,Yakutat,Yakutat,AK,59.12,-138.66,NA,"Stock-recruit analysis, using brood years 1976 to 1992"
136,Sockeye,Italio,NA,NA,WC,Yakutat,Yakutat,AK,59.28,-139.11,NA,NA
137,Sockeye,Situk,NA,NA,WC,Yakutat,Yakutat,AK,59.45,-139.62,NA,Stock-recruit analysis using brood years 1976 to 1997
138,Sockeye,Copper,8/23/2017,8/23/2017,GOA,PWS,PWS,AK,60.46,-144.96,2,"Used the ""Wild_BY_Return"" worksheet.  Hatchery component of the run was removed by subtracting hatchery salmon post season and assuming age composition matches that of hatchery fish; upper and lower river values combined because runs not identified in harvests. With wild vs. hatchery, and delta vs. upriver components, the Copper River can get really complicated. Also, the Miles Lake sonar cannot distinguish between various species. Thus, Chinook salmon are subtracted from the sonar counts post-season, as are estimates of fish harvest upriver in personal use and subsistence fisheries."
139,Sockeye,Coghill,8/22/2017,8/22/2017,GOA,PWS,PWS,AK,61.06,-147.94,2,"Returns are harvested in various districts prior to the Coghill District. Stock-of-origin is estimated based on the timing and location of harvest and, sometimes, from available scale pattern analysis."
140,Sockeye,Eshamy,8/22/2017,8/22/2017,GOA,PWS,PWS,AK,60.47,-147.94,2,"the weir was replaced in ~2012 with a video system that has not been entirely successful. Thus, only data until 2012 should be used for brood-year returns."
141,Sockeye,Kenai,8/22/2017,9/7/2017,GOA,Cook Inlet,Upper Cook Inlet,AK,60.54,-151.28,6,Age 7 fish starting in 1999 through Age 3 in 2011 use genetic estimates of stock-specific harvests. Age 7 fish starting in 2008 through Age 3 in 2013 use preliminary age composition catch allocation model estimates of stock-specific harvest (see original excel doc for color coding)
142,Sockeye,Kasilof,8/22/2017,9/7/2017,GOA,Cook Inlet,Upper Cook Inlet,AK,60.39,-151.3,6,Age 7 fish starting in 1999 through Age 3 in 2011 use genetic estimates of stock-specific harvests. Age 7 fish starting in 2008 through Age 3 in 2013 use preliminary age composition catch allocation model estimates of stock-specific harvest (see original excel doc for color coding)
143,Sockeye,Crescent,NA,NA,GOA,Cook Inlet,Upper Cook Inlet,AK,60.19,-152.66,NA,NA
144,Sockeye,Frazer,8/26/2017,9/7/2017,GOA,Kodiak,Kodiak,AK,57.13,-154.04,5,NA
145,Sockeye,Ayakulik,8/26/2017,9/7/2017,GOA,Kodiak,Kodiak,AK,57.2,-154.54,5,NA
146,Sockeye,Early Upper Station,8/26/2017,9/7/2017,GOA,Kodiak,Kodiak,AK,57.06,-154.36,5,Early run
147,Sockeye,Late Upper Station,8/26/2017,9/7/2017,GOA,Kodiak,Kodiak,AK,57.06,-154.36,5,Late run
148,Sockeye,Afognak,NA,NA,GOA,Kodiak,Kodiak,AK,58.07,-152.78,NA,NA
149,Sockeye,Early Karluk,8/26/2017,9/7/2017,GOA,Kodiak,Kodiak,AK,57.57,-154.45,5,Smolts enter ocean at BY+3 or BY+4
150,Sockeye,Late Karluk,8/26/2017,9/7/2017,GOA,Kodiak,Kodiak,AK,57.57,-154.45,5,Smolts enter ocean at BY+3 or BY+4
151,Sockeye,Black Lake,8/26/2017,9/6/2017,GOA,Chignik,Chignik,AK,56.28,-158.64,5,Chignik River Early Run
152,Sockeye,Chignik Lake,8/26/2017,9/12/2017,GOA,Chignik,Chignik,AK,56.28,-158.64,5,Chignik River Late Run
153,Sockeye,Nelson,8/26/2017,9/6/2017,BS,AK Peninsula,AK Peninsula,AK,55.96,-161.28,5,NA
154,Sockeye,Bear,8/26/2017,9/6/2017,BS,AK Peninsula,AK Peninsula,AK,56.16,-160.45,5,Late run
155,Sockeye,Ugashik,12/1/2016,9/12/2017,BS,Bristol Bay,Bristol Bay South,AK,57.5,-157.6,3,All BB tables except Togiak completely redone ~2012 after new genetic analyses on interceptions
156,Sockeye,Egegik,12/1/2016,9/12/2017,BS,Bristol Bay,Bristol Bay South,AK,58.25,-157.38,3,All BB tables except Togiak completely redone ~2012 after new genetic analyses on interceptions
157,Sockeye,Naknek,12/1/2016,9/12/2017,BS,Bristol Bay,Bristol Bay South,AK,58.78,-157.08,3,All BB tables except Togiak completely redone ~2012 after new genetic analyses on interceptions
158,Sockeye,Alagnak,12/1/2016,9/12/2017,BS,Bristol Bay,Bristol Bay South,AK,58.85,-158.5,3,"Poor quality data, suggest do not use"
159,Sockeye,Kvichak,12/1/2016,9/12/2017,BS,Bristol Bay,Bristol Bay South,AK,58.85,-157.03,3,1980 escapement reduced by 5 million because they died in high water at the falls (G. Ruggerone)
160,Sockeye,Nushagak,12/1/2016,9/12/2017,BS,Bristol Bay,Bristol Bay North,AK,58.82,-158.49,3,Excluded Nushagak before 1985 because escapement based on aerial surveys rather than sonar.  Sonar chnaged from Bendix to Didson in recenct years but some standardization.
161,Sockeye,Wood,12/1/2016,9/12/2017,BS,Bristol Bay,Bristol Bay North,AK,58.82,-158.62,3,All BB tables except Togiak completely redone ~2012 after new genetic analyses on interceptions
162,Sockeye,Igushik,12/1/2016,9/12/2017,BS,Bristol Bay,Bristol Bay North,AK,58.68,-158.8,3,All BB tables except Togiak completely redone ~2012 after new genetic analyses on interceptions
163,Sockeye,Togiak,12/1/2016,9/13/2017,BS,Bristol Bay,Bristol Bay North,AK,58.95,-160.45,11,NA
164,Sockeye,Goodnews,8/22/2017,9/6/2017,BS,AYK,AYK,AK,59.11,-161.62,7,"Middle Fork of Goodnews River was provided to Rich Brenner by Zachary Liller, ADF&G Research Coordinator for AYK (Division of Commercial Fisheries), on 22 August 2017."
165,Sockeye,Early Russian River,9/6/2017,NA,GOA,Cook Inlet,Upper Cook Inlet,AK,60.54,-151.28,NA,Early component within Kenai River. Age classes not broken out into freshwater and ocean ages - not sure how to incorporate into database
166,Sockeye,Osoyoos,9/1/2017,NA,WC,Columbia R,Columbia R,BC,NA,NA,10,Excluded because hatchery stocking in recent years and changing water and hydropower management likely influenced productivity.  See Kim Hyatt note to Jim Irvine
167,Sockeye,Alastair,9/1/2017,NA,WC,BC North,BC North,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
168,Sockeye,Awun,9/1/2017,NA,WC,BC North,BC North,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
169,Sockeye,Babine-Early-Wild,9/1/2017,NA,WC,BC North,BC North,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
170,Sockeye,Babine-Fulton,9/1/2017,NA,WC,BC North,BC North,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
171,Sockeye,Babine-Late-Wild,9/1/2017,NA,WC,BC North,BC North,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
172,Sockeye,Babine-Mid-Wild,9/1/2017,NA,WC,BC North,BC North,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
173,Sockeye,Babine-Pinkut,9/1/2017,NA,WC,BC North,BC North,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
174,Sockeye,Bloomfield,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
175,Sockeye,Canoona,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
176,Sockeye,Devon,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
177,Sockeye,Evelyn,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
178,Sockeye,Damshilgwit,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
179,Sockeye,Damdochax,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
180,Sockeye,Curtis Inlet,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
181,Sockeye,Bear- BC,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
182,Sockeye,Fred Wright,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
183,Sockeye,Freeda,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
184,Sockeye,Hartley Bay,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
185,Sockeye,Johnston,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
186,Sockeye,Kadjusdis River,9/1/2017,NA,WC,NA,NA,BC,NA,NA,8,Brendan suggests do not use data: assumed fixed age; wit for new data
